,Organisation Code,Name,Address,Postcode,Contact Telephone Number,Number of patients registered at the GP practice,loc,Point,Latitude,Longitude,Altitude
0,E83003,Oakleigh Road Health Centre,"Oakleigh Road Health Ctr, 280 Oakleigh Road North, Whetstone, London, N20 0DH",N20 0DH,020 83613638,5969,"London Borough of Barnet, London, Greater London, England, N20 0DH, United Kingdom","(51.624339250000006, -0.15905197444093394, 0.0)",51.62433925000001,-0.1590519744409339,0.0
1,E83005,Lichfield Grove Surgery,"64 Lichfield Grove, Finchley, London, N3 2JP",N3 2JP,020 83463123,12111,N3 2JP,"(51.59956346234251, -0.19324491991365197, 0.0)",51.59956346234251,-0.1932449199136519,0.0
2,E83006,Greenfield Medical Centre,"Greenfield Medical Centre, 143-145 Cricklewood Lane, Cricklewood, London, NW2 1HS",NW2 1HS,020 84505454,18827,NW2 1HS,"(51.56102486538271, -0.20572289499473898, 0.0)",51.56102486538271,-0.2057228949947389,0.0
3,E83007,Squires Lane Medical Practice,"2 Squires Lane, Finchley, London, N3 2AU",N3 2AU,020 83463388,10362,N3 2AU,"(51.60249166317471, -0.17493617490190924, 0.0)",51.60249166317472,-0.1749361749019092,0.0
4,E83008,Heathfielde Medical Centre,"Heathfielde Medical Ctr, Lyttleton Road, Finchley, Barnet, London, N2 0EQ",N2 0EQ,020 84589262,4490,N2 0EQ,"(51.58523769560617, -0.1797971332671109, 0.0)",51.58523769560618,-0.1797971332671109,0.0
5,E83009,Phgh Doctors,"Temple Fortune Health Ctr, 23 Temple Fortune Lane, Golders Green, London, NW11 7TE",NW11 7TE,020 82092400,26674,NW11 7TE,"(51.58104346002451, -0.1977708386034647, 0.0)",51.58104346002451,-0.1977708386034647,0.0
6,E83010,The Speedwell Practice,"The Speedwell Practice, The Hth Ctr,Torrington Pk, North Finchley, London, N12 9SS",N12 9SS,020 84457587,8036,N12 9SS,"(51.617129323301874, -0.17493276436323082, 0.0)",51.61712932330187,-0.1749327643632308,0.0
7,E83011,The Everglade Medical Practice,"Grahame Park Health Ctr., The Concourse, Grahame Park Estate, Colindale, London, NW9 5XT",NW9 5XT,020 84328641,6248,NW9 5XT,"(51.601577825421636, -0.24420987529031488, 0.0)",51.601577825421636,-0.2442098752903148,0.0
8,E83012,The Old Court House Surgery,"The Old Court House, 27 Wood Street, Barnet, Hertfordshire, EN5 4BB",EN5 4BB,020 84492388,12724,EN5 4BB,"(51.65289896199811, -0.20159110800439262, 0.0)",51.65289896199811,-0.2015911080043926,0.0
9,E83013,Cornwall House Surgery,"Cornwall House Surgery, Cornwall House, Cornwall Avenue, Finchley,London, N3 1LD",N3 1LD,020 83461976,6930,N3 1LD,"(51.60484484601807, -0.18993047115787787, 0.0)",51.60484484601807,-0.1899304711578778,0.0
10,E83016,Millway Medical Practice,"Millway Medical Practice, 2 Hartley Avenue, Mill Hill, London, NW7 2HX",NW7 2HX,020 89590888,6990,NW7 2HX,"(51.61556147579094, -0.24400334575297108, 0.0)",51.61556147579094,-0.24400334575297106,0.0
11,E83017,Longrove Surgery,"Vale Drive Primary C/Ctr, Barnet, Hertfordshire, EN5 2ED",EN5 2ED,020 83706660,8060,"London Borough of Barnet, London, Greater London, England, EN5 2ED, United Kingdom","(51.64882395343235, -0.1947673248651128, 0.0)",51.64882395343235,-0.1947673248651128,0.0
12,E83018,Watling Medical Centre,"Watling Medical Centre, 108 Watling Ave,Burnt Oak, Edgware, Middlesex, HA8 0NR",HA8 0NR,020 89061711,11964,HA8 0NR,"(51.60329064701824, -0.2620209514799359, 0.0)",51.60329064701824,-0.2620209514799359,0.0
13,E83020,St. Georges Medical Centre,"St.Georges Medical Centre, 7 Sunningfields Road, Hendon, London, NW4 4QR",NW4 4QR,020 82026232,9994,NW4 4QR,"(51.59160046810206, -0.2258908829450643, 0.0)",51.59160046810207,-0.2258908829450643,0.0
14,E83021,Torrington Park Group Practice,"Torrington Park Hlth Ctr., 16 Torrington Park, North Finchley, London, N12 9SS",N12 9SS,020 36675030,4971,N12 9SS,"(51.617129323301874, -0.17493276436323082, 0.0)",51.61712932330187,-0.1749327643632308,0.0
15,E83024,St Andrews Medical Practice.,"St Andrews Medical Pract., 50 Oakleigh Road North, Whetstone, London, N20 9EX",N20 9EX,020 84450475,8965,N20 9EX,"(51.63013807183263, -0.1723797273601874, 0.0)",51.630138071832626,-0.1723797273601874,0.0
16,E83025,Pennine Drive Practice,"8 Pennine Drive, Hendon, London, NW2 1PA",NW2 1PA,020 84559977,3427,NW2 1PA,"(51.5684742241248, -0.20890710555456288, 0.0)",51.568474224124785,-0.2089071055545628,0.0
17,E83026,Supreme Medical Centre,"Ground Floor, Supreme House, 300 Regents Park Road, Finchley, London, N3 2JX",N3 2JX,020 83463291,18948,N3 2JX,"(51.59945252840171, -0.1953863288055307, 0.0)",51.5994525284017,-0.1953863288055307,0.0
18,E83027,The Practice At 188,"188 Golders Green Road, Golders Green, London, NW11 9AY",NW11 9AY,020 82986498,2700,NW11 9AY,"(51.576421648397954, -0.2046692161391831, 0.0)",51.576421648397954,-0.2046692161391831,0.0
19,E83028,Parkview Surgery,"36 Cressingham Road, Edgware, Middlesex, HA8 0RW",HA8 0RW,020 89067980,9720,HA8 0RW,"(51.6069730282512, -0.25747567724065934, 0.0)",51.6069730282512,-0.2574756772406593,0.0
