Organisation Code,Name,Address,Contact Telephone Number,Number of patients registered at the GP practice,Latitude,Longitude,GP Patient Number Quintile
E83003,Oakleigh Road Health Centre,"Oakleigh Road Health Ctr, 280 Oakleigh Road North, Whetstone, London, N20 0DH",020 83613638,5998,51.62433925000001,-0.1590519744409339,3
E83005,Lichfield Grove Surgery,"64 Lichfield Grove, Finchley, London, N3 2JP",020 83463123,12190,51.59956346234251,-0.1932449199136519,5
E83006,Greenfield Medical Centre,"Greenfield Medical Centre, 143-145 Cricklewood Lane, Cricklewood, London, NW2 1HS",020 84505454,18846,51.56102486538271,-0.2057228949947389,5
E83007,Squires Lane Medical Practice,"2 Squires Lane, Finchley, London, N3 2AU",020 83463388,10492,51.60249166317472,-0.1749361749019092,4
E83008,Heathfielde Medical Centre,"Heathfielde Medical Ctr, Lyttleton Road, Finchley, Barnet, London, N2 0EQ",020 84589262,4480,51.58523769560618,-0.1797971332671109,2
E83009,Phgh Doctors,"Temple Fortune Health Ctr, 23 Temple Fortune Lane, Golders Green, London, NW11 7TE",020 82092400,26632,51.58104346002451,-0.1977708386034647,5
E83010,The Speedwell Practice,"The Speedwell Practice, The Hth Ctr,Torrington Pk, North Finchley, London, N12 9SS",020 84457587,8072,51.61712932330187,-0.1749327643632308,3
E83011,The Everglade Medical Practice,"Grahame Park Health Ctr., The Concourse, Grahame Park Estate, Colindale, London, NW9 5XT",020 84328641,6244,51.601577825421636,-0.2442098752903148,3
E83012,The Old Court House Surgery,"The Old Court House, 27 Wood Street, Barnet, Hertfordshire, EN5 4BB",020 84492388,12727,51.65289896199811,-0.2015911080043926,5
E83013,Cornwall House Surgery,"Cornwall House Surgery, Cornwall House, Cornwall Avenue, Finchley,London, N3 1LD",020 83461976,6936,51.60484484601807,-0.1899304711578778,3
E83016,Millway Medical Practice,"Millway Medical Practice, 2 Hartley Avenue, Mill Hill, London, NW7 2HX",020 89590888,6984,51.61556147579094,-0.24400334575297106,3
E83017,Longrove Surgery,"Vale Drive Primary C/Ctr, Barnet, Hertfordshire, EN5 2ED",020 83706660,8025,51.64882395343235,-0.1947673248651128,3
E83018,Watling Medical Centre,"Watling Medical Centre, 108 Watling Ave,Burnt Oak, Edgware, Middlesex, HA8 0NR",020 89061711,11967,51.60329064701824,-0.2620209514799359,5
E83020,St. Georges Medical Centre,"St.Georges Medical Centre, 7 Sunningfields Road, Hendon, London, NW4 4QR",020 82026232,10033,51.59160046810207,-0.2258908829450643,4
E83021,Torrington Park Group Practice,"Torrington Park Hlth Ctr., 16 Torrington Park, North Finchley, London, N12 9SS",020 36675030,4983,51.61712932330187,-0.1749327643632308,2
E83024,St Andrews Medical Practice.,"St Andrews Medical Pract., 50 Oakleigh Road North, Whetstone, London, N20 9EX",020 84450475,8953,51.630138071832626,-0.1723797273601874,4
E83025,Pennine Drive Practice,"8 Pennine Drive, Hendon, London, NW2 1PA",020 84559977,3405,51.568474224124785,-0.2089071055545628,1
E83026,Supreme Medical Centre,"Ground Floor, Supreme House, 300 Regents Park Road, Finchley, London, N3 2JX",020 83463291,18946,51.5994525284017,-0.1953863288055307,5
E83027,The Practice At 188,"188 Golders Green Road, Golders Green, London, NW11 9AY",020 82986498,2700,51.576421648397954,-0.2046692161391831,1
E83028,Parkview Surgery,"36 Cressingham Road, Edgware, Middlesex, HA8 0RW",020 89067980,9733,51.6069730282512,-0.2574756772406593,4
E83030,Penshurst Gardens Surgery,"39 Penshurst Gardens, Edgware, Middlesex, HA8 9TN",020 89583141,10088,51.61612895677053,-0.2728116472488108,4
E83031,The Village Surgery,"113 East Barnet Road, Barnet, Hertfordshire, EN4 8RF",020 84496443,2373,51.648556044140854,-0.1685558173288109,1
E83032,Oak Lodge Medical Centre,"Oak Lodge Medical Centre, 234 Burnt Oak Broadway, Edgware, Middlesex, HA8 0AP",020 89521202,5895,51.603679593188254,-0.2706992477495665,2
E83034,Colney Hatch Lane Surgery,"192 Colney Hatch Lane, Muswell Hill, London, N10 1ET",020 88835555,5581,51.60073065652502,-0.1475547670224563,2
E83035,Wentworth Medical Practice.,"Wentworth Medical Pract., 38 Wentworth Avenue, Finchley Central, London, N3 1YL",020 83461242,6070,51.60774537334018,-0.1879232237226305,3
E83037,Derwent Crescent Medical Centre,"Derwent Crescent Med Ctr, 20 Derwent Crescent, Whetstone, London, N20 0QQ",020 84460171,51838,51.62290848492367,-0.1752850934086994,5
