,Organisation Code,Name,Postcode,Full Address,Number of patients registered at GP practices in London,loc,Point,Latitude,Longitude,Altitude
0,E83003,Oakleigh Road Health Centre,N20 0DH,"Oakleigh Road Health Ctr, 280 Oakleigh Road North, Whetstone, London",5995,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
1,E83005,Lichfield Grove Surgery,N3 2JP,"64 Lichfield Grove, Finchley, London",12069,"London, Westminster, GB, N3 2JP","(51.599558, -0.193234, 0.0)",51.599558,-0.193234,0.0
2,E83006,Greenfield Medical Centre,NW2 1HS,"Greenfield Medical Centre, 143-145 Cricklewood Lane, Cricklewood, London",18746,"London, Westminster, GB, NW2 1HS","(51.561018, -0.205684, 0.0)",51.561018,-0.205684,0.0
3,E83007,Squires Lane Medical Practice,N3 2AU,"2 Squires Lane, Finchley, London",10323,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
4,E83008,Heathfielde Medical Centre,N2 0EQ,"Heathfielde Medical Ctr, Lyttleton Road, Finchley, Barnet, London",4498,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
5,E83009,Phgh Doctors,NW11 7TE,"Temple Fortune Health Ctr, 23 Temple Fortune Lane, Golders Green, London",26645,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
6,E83010,The Speedwell Practice,N12 9SS,"The Speedwell Practice, The Hth Ctr,Torrington Pk, North Finchley, London",7946,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
7,E83011,The Everglade Medical Practice,NW9 5XT,"Grahame Park Health Ctr., The Concourse, Grahame Park Estate, Colindale, London",6272,"London, Westminster, GB, NW9 5XT","(51.601572, -0.2442, 0.0)",51.601572,-0.2442,0.0
8,E83012,The Old Court House Surgery,EN5 4BB,"The Old Court House, 27 Wood Street, Barnet, Hertfordshire",12703,"Barnet, Hertfordshire, GB, EN5 4BB","(51.652911, -0.201594, 0.0)",51.652911,-0.201594,0.0
9,E83013,Cornwall House Surgery,N3 1LD,"Cornwall House Surgery, Cornwall House, Cornwall Avenue, Finchley,London",6928,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
10,E83016,Millway Medical Practice,NW7 2HX,"Millway Medical Practice, 2 Hartley Avenue, Mill Hill, London",6988,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
11,E83017,Longrove Surgery,EN5 2ED,"Vale Drive Primary C/Ctr, Barnet, Hertfordshire",8057,"Barnet, Hertfordshire, GB, EN5 2ED","(51.648831, -0.194702, 0.0)",51.648831,-0.194702,0.0
